id,name,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
2dFEB7VbBPZzhb2LqIBZbH,Blue Spotted Tail,"Fleet Foxes, ",0.903,0.501,185293,0.0305,0.00141,7,0.108,-21.455,1,0.0417,89.721,4,0.665
3ASn2iE7F4HvA8XyRbJ4tS,Sea Of Love,"Langhorne Slim, Jill Andrews, ",0.904,0.538,203191,0.272,0.000613,11,0.108,-10.783,1,0.0381,118.382,4,0.293
53hXLQsByJC4B3UCNcmh0E,We Will Become Silhouettes,"The Postal Service, ",0.0302,0.588,300547,0.569,0.0639,2,0.172,-8.044,1,0.0326,154.989,4,0.137
5dIGWhOYRiCAIMoDjimCAn,Carried Away,"Carl Broemel, ",0.546,0.595,243973,0.345,0.321,0,0.103,-11.285,1,0.0278,124.646,4,0.244
1t6zwEOPQUz9QIjlwZ5UGF,Line Of Fire,"Junip, ",0.472,0.484,339293,0.75,0.523,2,0.111,-8.033,1,0.0417,90.377,4,0.29
4H8RGVaLYBL7uM0KTS50WK,Try,"Escondido, ",0.773,0.282,217674,0.456,0.00557,0,0.11,-10.705,1,0.0333,127.975,4,0.159
4ouHnqx22lzTZHr2hEt5aH,Our Love,"Sharon Van Etten, ",0.134,0.578,232760,0.513,0.688,1,0.106,-9.868,0,0.0301,162.015,4,0.397
5aO3PDi7cfVyqSbXSrSxfx,Don't Tell Our Friends About Me,"Blake Mills, ",0.65,0.74,319773,0.559,0.00102,10,0.103,-8.077,1,0.0368,124.957,4,0.65
6hBmL5yVbXDHSWX6GbuogP,Had To Hear,"Real Estate, ",0.135,0.556,290827,0.765,0.732,7,0.149,-7.474,1,0.0319,125.72,4,0.485
5rP9Weh1uFtlyRGqnzyQnd,Towers,"Bon Iver, ",0.945,0.35,188040,0.334,0.703,9,0.273,-12.412,1,0.0323,91.592,4,0.139
05qTeP4xG8KXoRhN2HdKjS,I Don't Know What I Can Save You From,"Kings of Convenience, ",0.938,0.619,277507,0.284,0.774,3,0.123,-15.547,1,0.0286,91.943,4,0.687
3YLjiKf34DECifehm1yauN,Woman Like Me,"Paleo, ",0.782,0.631,212227,0.682,0.00000252,5,0.16,-4.711,1,0.0283,79.481,4,0.532
3jPiv3uw7BUSkhdOuxUxkq,Museum of Flight,"Damien Jurado, ",0.708,0.61,170907,0.401,0.0057,1,0.11,-9.844,1,0.0345,110.164,4,0.136
6CAG3rBGPTAinoqgVD7fBJ,The Greatest,"Cat Power, ",0.738,0.508,202560,0.362,0.000998,0,0.0922,-9.688,1,0.0262,107.459,4,0.325
0ZNYGrmcehorhh9JOeg5Iv,Stay Alive,"José González, ",0.736,0.718,266907,0.302,0.163,6,0.0887,-12.086,1,0.0372,129.999,4,0.337
0URtGENIORu1ruWHbh27F7,No Woman,"Whitney, ",0.9,0.582,238400,0.401,0.538,2,0.157,-8.731,1,0.028,112.357,4,0.414
6bmytjj9ePNgm9ALqs1Xa7,Changes,"Langhorne Slim, The Law, ",0.891,0.668,161907,0.367,0.00521,11,0.103,-11.002,1,0.0285,110.21,4,0.332
5IPIpXq8znsSOybCsbd88v,Wolves,"Phosphorescent, ",0.943,0.331,374640,0.288,0.00453,1,0.0756,-11.067,1,0.0311,130.752,3,0.0993
3mnZ0JehmgDBzG0vHScCRH,You're Out Wasting,"Andy Shauf, ",0.896,0.559,226720,0.413,0.000601,7,0.133,-13.439,1,0.0338,131.174,4,0.338
4fbvXwMTXPWaFyaMWUm9CR,Holocene,"Bon Iver, ",0.943,0.375,336613,0.304,0.303,1,0.126,-14.52,1,0.0302,147.989,4,0.151
0hcWKHCgdvsBAHkbLCrwQN,Tears of Joy,"Slow Club, ",0.267,0.644,245118,0.52,0,8,0.362,-8.583,1,0.063,142.736,4,0.374
7M8jtZQTPhPK6EgwcOgujM,Brandy Alexander,"Feist, ",0.431,0.629,216080,0.171,0.003,2,0.225,-10.845,1,0.0355,70.087,4,0.152
7BzhqmRj3iOZXqMHqiifHr,Heartbeats,"José González, ",0.974,0.552,160240,0.15,0.731,3,0.0698,-16.746,1,0.0347,87.485,4,0.311
25J4d78ESH2MgAJoIakB8O,Lost In The Light,"Bahamas, ",0.804,0.601,236720,0.262,0.0012,2,0.111,-8.743,1,0.0344,76.349,4,0.213
7EN9HHkjySM5Eratx2zaMo,Wood,"Rostam, ",0.731,0.506,342375,0.602,0.171,11,0.0745,-8.778,1,0.163,110.602,3,0.696
0jp1YFgWn67BtAVDZRaSqM,Detectorists (Original Soundtrack from the TV Series),"Johnny Flynn, ",0.361,0.419,125945,0.233,0.00135,4,0.11,-11.194,1,0.0317,106.08,4,0.205
65tH2GPMFCt8JtM2PM3MiX,Morning,"Beck, ",0.473,0.552,319787,0.359,0.0545,4,0.126,-9.883,1,0.0254,113.581,4,0.254
1mwwueuXt5NPPtnJyswwA9,My Baby Don't Understand Me,"Natalie Prass, ",0.847,0.514,312360,0.263,0.000273,8,0.0806,-10.391,1,0.0388,139.958,4,0.166
02iZJRlOZ7VRbzO8uVdOva,In the Stream,"S. Carey, ",0.951,0.462,310733,0.244,0.173,3,0.12,-16.96,1,0.029,100.142,4,0.0783
